,gH2AX_foci,pRPA_foci,RAD51_foci
U54-TMA-9_sceneA08_cell542.0,,,0.0
U54-TMA-9_sceneA08_cell543.0,,0.0,
U54-TMA-9_sceneA08_cell547.0,0.0,,
U54-TMA-9_sceneA08_cell550.0,0.0,,
U54-TMA-9_sceneA08_cell557.0,,,0.0
U54-TMA-9_sceneA08_cell563.0,0.0,,
U54-TMA-9_sceneA08_cell566.0,0.0,,
U54-TMA-9_sceneA08_cell572.0,0.0,,
U54-TMA-9_sceneA08_cell588.0,0.0,,
U54-TMA-9_sceneA08_cell607.0,0.0,,
U54-TMA-9_sceneA08_cell611.0,,,0.0
U54-TMA-9_sceneA08_cell617.0,0.0,,
U54-TMA-9_sceneA08_cell620.0,0.0,,
U54-TMA-9_sceneA08_cell628.0,0.0,,
U54-TMA-9_sceneA08_cell631.0,0.0,,
U54-TMA-9_sceneA08_cell634.0,0.0,,
U54-TMA-9_sceneA08_cell636.0,0.0,,
U54-TMA-9_sceneA08_cell638.0,,2.0,
U54-TMA-9_sceneA08_cell639.0,,0.0,
U54-TMA-9_sceneA08_cell640.0,0.0,,
U54-TMA-9_sceneA08_cell643.0,0.0,,
U54-TMA-9_sceneA08_cell644.0,0.0,1.0,
U54-TMA-9_sceneA08_cell646.0,0.0,,
U54-TMA-9_sceneA08_cell649.0,,0.0,
U54-TMA-9_sceneA08_cell656.0,0.0,,
U54-TMA-9_sceneA08_cell660.0,0.0,,
U54-TMA-9_sceneA08_cell661.0,0.0,,
U54-TMA-9_sceneA08_cell665.0,1.0,,
U54-TMA-9_sceneA08_cell668.0,0.0,,
U54-TMA-9_sceneA08_cell669.0,0.0,,
U54-TMA-9_sceneA08_cell678.0,0.0,,
U54-TMA-9_sceneA08_cell679.0,0.0,,
U54-TMA-9_sceneA08_cell682.0,0.0,,
U54-TMA-9_sceneA08_cell706.0,,1.0,
U54-TMA-9_sceneA08_cell715.0,1.0,,
U54-TMA-9_sceneA08_cell747.0,0.0,,
U54-TMA-9_sceneA08_cell765.0,,0.0,
U54-TMA-9_sceneA08_cell780.0,0.0,,
U54-TMA-9_sceneA08_cell788.0,0.0,,
U54-TMA-9_sceneA08_cell806.0,0.0,,
U54-TMA-9_sceneA08_cell815.0,0.0,,
U54-TMA-9_sceneA08_cell821.0,,0.0,
U54-TMA-9_sceneA08_cell848.0,0.0,,
U54-TMA-9_sceneA08_cell853.0,0.0,,
U54-TMA-9_sceneA08_cell923.0,,0.0,
U54-TMA-9_sceneA08_cell941.0,0.0,,
U54-TMA-9_sceneA08_cell956.0,0.0,,
U54-TMA-9_sceneA08_cell1010.0,0.0,,
U54-TMA-9_sceneA08_cell1033.0,0.0,,
U54-TMA-9_sceneA08_cell1079.0,0.0,,
U54-TMA-9_sceneA08_cell1167.0,0.0,,
U54-TMA-9_sceneA08_cell1190.0,0.0,,
U54-TMA-9_sceneA08_cell1198.0,0.0,,
U54-TMA-9_sceneA08_cell1212.0,0.0,,
U54-TMA-9_sceneA08_cell1225.0,0.0,,
U54-TMA-9_sceneA08_cell1241.0,0.0,,
U54-TMA-9_sceneA08_cell1263.0,0.0,,
U54-TMA-9_sceneA08_cell1269.0,0.0,,
U54-TMA-9_sceneA08_cell1298.0,0.0,,
U54-TMA-9_sceneA08_cell1312.0,0.0,,
U54-TMA-9_sceneA08_cell1339.0,0.0,,
U54-TMA-9_sceneA08_cell1413.0,0.0,,
U54-TMA-9_sceneA08_cell1420.0,0.0,,
U54-TMA-9_sceneA08_cell1471.0,0.0,,
